id,date,open,high,low,close,volume,market_cap,crypto_id
38,2014-10-24,358.591,364.345,353.305,358.345,358,15585700,1
39,2014-10-25,358.611,359.861,342.877,347.271,347,18127500,1
40,2014-10-26,347.487,359.221,343.931,354.704,355,11272500,1
41,2014-10-27,354.777,358.632,349.809,352.989,353,13033000,1
42,2014-10-28,353.215,359.984,352.679,357.618,358,7845880,1
43,2014-10-29,357.089,357.833,335.343,335.591,336,18192700,1
44,2014-10-30,335.709,350.913,335.072,345.305,345,30177900,1
45,2014-10-31,345.009,348.045,337.142,338.321,338,12545400,1
46,2014-11-01,338.65,340.529,321.055,325.749,326,16677200,1
47,2014-11-02,326.075,329.05,320.626,325.892,326,8603620,1
48,2014-11-03,325.569,334.002,325.481,327.554,328,12948500,1
49,2014-11-04,327.161,331.767,325.077,330.492,330,15655500,1
50,2014-11-05,330.683,343.369,330.683,339.486,339,19817200,1
51,2014-11-06,339.458,352.966,338.424,349.29,349,18797000,1
52,2014-11-07,349.818,352.732,341.776,342.415,342,16834200,1
53,2014-11-08,342.154,347.032,342.154,345.488,345,8535470,1
54,2014-11-09,345.376,363.626,344.255,363.264,363,24205600,1
55,2014-11-10,362.265,374.816,357.561,366.924,367,30450100,1
56,2014-11-11,365.857,371.31,363.735,367.695,368,15838900,1
57,2014-11-12,367.985,429.718,367.985,423.561,424,45783200,1
58,2014-11-13,427.273,457.093,401.123,420.735,421,58945000,1
59,2014-11-14,418.417,419.252,384.789,397.818,398,29589200,1
60,2014-11-15,399.65,405.528,371.008,376.133,376,15727500,1
61,2014-11-16,374.73,390.799,374.602,387.882,388,11905600,1
62,2014-11-17,388.349,410.199,377.502,387.408,387,41518800,1
63,2014-11-18,387.785,392.402,371.117,375.198,375,32222500,1
64,2014-11-19,373.896,386.481,373.896,380.555,381,18931800,1
65,2014-11-20,380.307,382.025,356.781,357.84,358,25233200,1
66,2014-11-21,357.879,357.879,344.112,350.848,351,29850100,1
67,2014-11-22,351.604,364.841,350.878,352.92,353,15273000,1
68,2014-11-23,353.175,370.845,353.175,367.573,368,15151600,1
69,2014-11-24,366.948,387.209,366.669,376.901,377,30930100,1
70,2014-11-25,376.886,394.701,374.784,375.348,375,25442200,1
71,2014-11-26,376.019,377.698,365.816,368.37,368,18601700,1
72,2014-11-27,370.502,373.992,368.282,369.67,370,8748030,1
73,2014-11-28,369.374,382.838,358.455,376.447,376,22946500,1
74,2014-11-29,376.152,387.601,372.145,375.491,375,15375600,1
75,2014-11-30,375.51,382.527,373.309,378.047,378,9194440,1
76,2014-12-01,378.249,383.662,376.669,379.245,379,11763000,1
77,2014-12-02,379.25,384.038,377.863,381.315,381,12364100,1
78,2014-12-03,381.722,383.026,374.346,375.01,375,13340100,1
79,2014-12-04,375.718,378.655,367.759,369.604,370,14529600,1
80,2014-12-05,369.442,379.192,365.756,376.854,377,15181800,1
81,2014-12-06,376.757,378.448,370.945,374.785,375,7009320,1
82,2014-12-07,374.836,376.292,373.275,375.095,375,6491650,1
83,2014-12-08,374.965,376.029,361.886,361.909,362,18898700,1
84,2014-12-09,361.895,363.067,344.951,352.219,352,32915500,1
85,2014-12-10,352.205,352.384,346.365,346.365,346,16427700,1
86,2014-12-11,344.34,361.357,338.763,350.506,351,32431300,1
87,2014-12-12,350.833,352.983,349.291,352.542,353,16989800,1
88,2014-12-13,352.381,352.381,346.588,347.376,347,11675900,1
89,2014-12-14,346.727,353.316,345.418,351.632,352,12415200,1
90,2014-12-15,351.361,351.815,344.934,345.345,345,17264200,1
91,2014-12-16,345.673,345.859,327.062,327.062,327,30864900,1
92,2014-12-17,326.855,333.954,315.152,319.776,320,37567900,1
93,2014-12-18,319.785,323.709,304.232,311.396,311,39173000,1
94,2014-12-19,311.179,318.533,306.769,317.843,318,23823100,1
95,2014-12-20,317.619,330.325,316.044,329.956,330,20856700,1
96,2014-12-21,329.543,329.629,318.903,320.843,321,15207600,1
97,2014-12-22,321.068,334.117,320.425,331.886,332,22315100,1
98,2014-12-23,332.017,336.287,329.602,334.572,335,16574200,1
99,2014-12-24,334.385,334.741,321.357,322.534,323,15092300,1
100,2014-12-25,322.286,322.67,316.958,319.008,319,9883640,1
101,2014-12-26,319.152,331.424,316.627,327.924,328,16410500,1
102,2014-12-27,327.583,328.911,312.63,315.863,316,15185200,1
103,2014-12-28,316.16,320.028,311.078,317.239,317,11676600,1
104,2014-12-29,317.701,320.267,312.307,312.67,313,12302500,1
105,2014-12-30,312.719,314.809,309.373,310.737,311,12528300,1
106,2014-12-31,310.914,320.193,310.211,320.193,320,13942900,1
107,2015-01-01,320.435,320.435,314.003,314.249,314,8036550,1
108,2015-01-02,314.079,315.839,313.565,315.032,315,7860650,1
109,2015-01-03,314.846,315.15,281.082,281.082,281,33054400,1
110,2015-01-04,281.146,287.23,257.612,264.195,264,55629100,1
111,2015-01-05,265.084,278.341,265.084,274.474,274,43962800,1
112,2015-01-06,274.611,287.553,272.696,286.189,286,23245700,1
113,2015-01-07,286.077,298.754,283.079,294.337,294,24866800,1
114,2015-01-08,294.135,294.135,282.175,283.349,283,19982500,1
115,2015-01-09,282.383,291.114,280.533,290.408,290,18718600,1
116,2015-01-10,287.303,288.127,273.966,274.796,275,15264300,1
117,2015-01-11,274.608,279.638,265.039,265.66,266,18200800,1
118,2015-01-12,266.146,272.203,265.2,267.796,268,18880300,1
119,2015-01-13,267.394,268.277,219.906,225.861,226,72843904,1
120,2015-01-14,223.894,223.894,171.51,178.103,178,97638704,1
121,2015-01-15,176.897,229.067,176.897,209.844,210,81773504,1
122,2015-01-16,209.07,221.591,199.771,208.097,208,38421000,1
123,2015-01-17,207.834,211.731,194.875,199.26,199,23469700,1
124,2015-01-18,200.05,218.695,194.506,210.339,210,30085100,1
125,2015-01-19,211.471,216.728,207.318,214.861,215,18658300,1
126,2015-01-20,212.907,215.241,205.153,211.315,211,24051100,1
127,2015-01-21,211.378,227.788,211.212,226.897,227,29924600,1
128,2015-01-22,227.322,237.019,226.434,233.406,233,33544600,1
129,2015-01-23,233.517,234.845,225.196,232.879,233,24621700,1
130,2015-01-24,232.7,248.21,230.022,247.847,248,24782500,1
131,2015-01-25,247.352,255.074,243.89,253.718,254,33582700,1
132,2015-01-26,254.079,309.384,254.079,273.473,273,106794000,1
133,2015-01-27,273.167,275.48,250.653,263.475,263,44399000,1
134,2015-01-28,263.351,266.535,227.046,233.915,234,44352200,1
135,2015-01-29,233.348,238.706,220.712,233.513,234,32213400,1
136,2015-01-30,232.772,242.851,225.839,226.425,226,26605200,1
137,2015-01-31,226.441,233.504,216.309,217.464,217,23348200,1
138,2015-02-01,216.867,231.574,212.015,226.972,227,29128500,1
139,2015-02-02,226.491,242.175,222.659,238.229,238,30612100,1
140,2015-02-03,237.454,245.957,224.483,227.268,227,40783700,1
141,2015-02-04,227.511,230.058,221.113,226.853,227,26594300,1
142,2015-02-05,227.665,239.405,214.725,217.111,217,22516400,1
143,2015-02-06,216.923,230.51,216.232,222.266,222,24435300,1
144,2015-02-07,222.633,230.299,222.607,227.754,228,21604200,1
145,2015-02-08,227.693,229.438,221.077,223.412,223,17145200,1
146,2015-02-09,223.389,223.977,217.019,220.11,220,27791300,1
147,2015-02-10,220.282,221.807,215.332,219.839,220,21115100,1
148,2015-02-11,219.732,223.406,218.074,219.185,219,17201900,1
149,2015-02-12,219.208,222.199,217.614,221.764,222,15206200,1
150,2015-02-13,221.969,240.259,221.262,235.427,235,42744400,1
151,2015-02-14,235.528,259.808,235.528,257.321,257,49732500,1
152,2015-02-15,257.507,265.611,227.684,234.825,235,56552400,1
153,2015-02-16,234.825,239.521,229.022,233.843,234,28153700,1
154,2015-02-17,233.422,245.775,232.314,243.61,244,27363100,1
155,2015-02-18,243.78,244.251,232.34,236.326,236,25200800,1
156,2015-02-19,236.41,242.672,235.592,240.283,240,18270500,1
157,2015-02-20,240.251,247.101,239.299,243.779,244,23876700,1
158,2015-02-21,243.752,255.32,243.184,244.534,245,12284200,1
159,2015-02-22,244.544,246.392,233.851,235.977,236,19527000,1
160,2015-02-23,235.995,240.109,232.421,238.892,239,16400000,1
161,2015-02-24,238.998,239.901,236.402,238.735,239,14200400,1
162,2015-02-25,238.89,239.34,235.53,237.47,237,11496200,1
163,2015-02-26,237.337,237.71,234.257,236.426,236,13619400,1
164,2015-02-27,236.436,256.653,236.436,253.828,254,44013900,1
165,2015-02-28,253.52,254.692,249.479,254.263,254,13949300,1
166,2015-03-01,254.283,261.66,245.933,260.202,260,25213700,1
167,2015-03-02,260.357,276.301,258.313,275.67,276,40465700,1
168,2015-03-03,275.046,285.796,268.161,281.702,282,50461300,1
169,2015-03-04,281.99,284.225,268.126,273.092,273,41383000,1
170,2015-03-05,272.739,281.667,264.769,276.178,276,41302400,1
171,2015-03-06,275.6,277.608,270.015,272.723,273,28918900,1
172,2015-03-07,272.294,277.854,270.133,276.261,276,17825900,1
173,2015-03-08,276.433,277.858,272.565,274.354,274,22067900,1
174,2015-03-09,274.812,292.701,273.893,289.607,290,59178200,1
175,2015-03-10,289.862,300.044,289.743,291.76,292,67770800,1
176,2015-03-11,291.525,297.391,290.508,296.379,296,33963900,1
177,2015-03-12,296.127,297.088,292.413,294.354,294,32585200,1
178,2015-03-13,294.118,294.498,285.337,285.337,285,31421500,1
179,2015-03-14,284.442,286.342,280.976,281.885,282,22612300,1
180,2015-03-15,281.425,286.529,280.996,286.393,286,11970100,1
181,2015-03-16,285.685,294.112,285.685,290.593,291,21516100,1
182,2015-03-17,290.595,292.365,284.374,285.505,286,21497200,1
183,2015-03-18,285.067,285.336,249.87,256.299,256,57008000,1
184,2015-03-19,255.88,264.244,248.636,260.928,261,52732000,1
